Canonical Name (Latin),Canonical Name (Greek),Variants (Latin),Variants (Greek)
Maximos,Μάξιμος,"Maxis, Max",
Melani,Μελάνη,Melane,
Meletis,Μελέτης,"Meletios, Takis","Μελέτιος, Τάκης"
Melitine,Μελιτίνη,"Melita, Melina","Μελίτα, Μελίνα"
Menandrios,Μένανδρος,,
Minas,Μηνάς,"Menas, Minakos",
Menodora,Μηνοδώρα,Dora,Δώρα
Merkouris,Μερκούρης,"Merkourios, Merkouros",Μερκούριος
Mertios,Μέρτιος,Mertis,
Methodios,Μεθόδιος,Methodis,
Metrodora,Μητροδώρα,"Dora, Mitroula",Δώρα
Metrophanes,Μητροφάνης,Fanis,Φάνης
Michalis,Μιχάλης,"Michael, Mihail, Michalos, Lakis, Mikis","Μιχαήλ, Μίκης, Μιχαλός, Λάκης"
Mokios,Μώκιος,Mokis,
Moysis,Μωυσής,"Moses, Moysakos",
Myronas,Μύρωνας,Myron,Μύρων
Meropi,Μερόπη,"Myrope, Myropi, Popi",Πόπη
Naoumis,Ναούμης,Naoum,Ναούμ
Natalia,Ναταλία,"Natalie, Natali, Natasa","Ναταλί, Νατάσα"
Nathanael,Ναθαναήλ,Nathanis,
Nazarios,Ναζάριος,Nazaris,
Nearchos,Νέαρχος,Nearchis,
Neilos,Νείλος,,
Nektarios,Νεκτάριος,"Nektaris, Takis","Νεκτάρης, Τάκης"
Neofytos,Νεόφυτος,"Neofytis, Fytis",
Nestoras,Νέστορας,"Nestor, Nestoras",Νέστωρ
Nikandros,Νίκανδρος,,
Niki,Νίκη,"Nike, Nikitsa",Νικίτσα
Nikiforos,Νικηφόρος,Foris,Φόρης
Nikitas,Νικήτας,Nikitakos,
Nikodemos,Νικόδημος,"Nikodimos, Dimis",
Nikos,Νίκος,"Nikolaos, Nikolas, Nicolas, Nikolakis","Νικόλαος, Νικόλας, Νικολάκης, Νικολός"
Olga,Όλγα,"Olgitsa, Olia","Ολγίτσα, Όλια"
Olympas,Ολυμπάς,,
Olympia,Ολυμπία,"Olia, Olimpo",Όλια
Onisimos,Ονήσιμος,Onesiomos,
Onesiphoros,Ονησιφόρος,Foris,Φόρης
Onoufris,Ονούφρης,"Onoufrios, Nonis","Ονούφριος, Νόνης"
Orestis,Ορέστης,Orestes,
Pachomios,Παχώμιος,Pachomis,
Pafnoutios,Παφνούτιος,Pafnoutis,
Pankratis,Παγκράτης,"Pagkratios, Pankratios",Παγκράτιος
Paisios,Παΐσιος,,
Palladios,Παλλάδιος,Palladis,
Pamfilos,Πάμφιλος,,
Panagiotis,Παναγιώτης,"Panos, Takis, Notis, Giotis","Πάνος, Τάκης, Νότης, Γιώτης, Παναής"
Pantelis,Παντελής,"Panteleimon, Pantelos","Παντελεήμων, Παντελεήμονας"
Papylos,Πάπυλος,,
Paraskevi,Παρασκευή,"Parakseue, Voula, Evi, Vivi","Βούλα, Εύη, Βιβή, Παρασκευούλα, Σκεύω"
Parthenis,Παρθένης,Parthenios,Παρθένιος
Patrikios,Πατρίκιος,"Patrikis, Patros",
Pavlos,Παύλος,"Paul, Pavlakis",Παυλάκης
Pegasios,Πηγάσιος,Pegasis,
Pegi,Πηγή,"Pege, Pigoula","Πηγή, Πηγούλα"
Pelagia,Πελαγία,"Pelagoula, Peggy, Popi","Πέγκυ, Πόπη"
Petros,Πέτρος,"Peter, Petrakis","Πετράκης, Πετράν"
Faidros,Φαίδρος,Phaedros,
Philotheos,Φιλόθεος,,
Foivi,Φοίβη,Phoebe,
Platonas,Πλάτωνας,Platon,Πλάτων
Poimenas,Ποιμένας,Poimen,Ποιμήν
Polychronis,Πολυχρόνης,"Polychronios, Chronis","Πολυχρόνιος, Χρόνης"
Polyeuktos,Πολύευκτος,,
Polykarpos,Πολύκαρπος,Karpos,
Porfyris,Πορφύρης,Porfyrios,Πορφύριος
Poulcheria,Πουλχερία,Pulcheria,
Probos,Πρόβος,Provos,
Prodromos,Πρόδρομος,Makis,Μάκης
Proklos,Πρόκλος,,
Prokopis,Προκόπης,Prokopios,Προκόπιος
Pyrros,Πύρρος,Pyrrhos,
Reginos,Ρηγίνος,,
Rodion,Ροδίων,Rodis,
Romanos,Ρωμανός,,
Roufos,Ρούφος,,
Sabbatios,Σαββάτιος,Savvatios,
Savinos,Σαβίνος,Sabinos,
Sampson,Σαμψών,Sampsos,
Samouil,Σαμουήλ,"Samuel, Sam",
Savvas,Σάββας,"Savvakis, Savas",Σαββάκης
Sebastianos,Σεβαστιανός,Sebas,
Serafeim,Σεραφείμ,"Serafim, Makis",Μάκης
Sergios,Σέργιος,,
Simos,Σίμος,Simonas,Σίμωνας
Sofia,Σοφία,"Sophia, Sofoula, Fifi, Sofi","Σοφούλα, Σόφη, Φίφη"
Sokratis,Σωκράτης,Socrates,
Sotiris,Σωτήρης,"Sotirios, Sotiros, Sotos, Sotirakis","Σωτήριος, Σώτος, Σωτηράκης"
Spyros,Σπύρος,"Spiros, Spyridon, Spiris, Pipis","Σπυρίδων, Πίπης"
Stamatis,Σταμάτης,"Stamatios, Stamos, Stamatais","Σταμάτιος, Στάμος, Σταματάκης"
Stavros,Σταύρος,Stavrakis,Σταυράκης
Stefanos,Στέφανος,"Stephanos, Stefis, Stefanis, Steve",Στεφανής
Stelios,Στέλιος,"Stylianos, Stellakos, Telis","Στυλιανός, Τέλης"
Tarasis,Ταράσης,Tarasios,Ταράσιος
Thekla,Θέκλα,,
Themistoklis,Θεμιστοκλής,"Themistokleous, Themis","Θεμιστοκλής, Θέμης"
Thodoris,Θοδωρής,"Theodoros, Thodoros, Teo, Doros","Θεόδωρος, Θόδωρος, Τεό, Δώρος"
Theodosis,Θεοδόσης,"Theodosios, Dosios, Sakis","Θεοδόσιος, Σάκης"
Theofano,Θεοφανώ,"Theofania, Fania, Fani, Nia","Θεοφάνια, Φανή, Φανία"
Theofanis,Θεοφάνης,Fanis,Φάνης
Theofilos,Θεόφιλος,Filos,
Theofylaktos,Θεοφύλακτος,"Fylaktos, Lakis","Φυλακτός, Λάκης"
Theoklitos,Θεόκλητος,Klitos,Κλίτος
Thomas,Θωμάς,"Tom, Thomakos",Θωμαδάκης
Timos,Τίμος,,
Timotheos,Τιμόθεος,,
Tryfonas,Τρύφωνας,"Tryfonos, Tryfon",Τρύφων
Valentina,Βαλεντίνα,"Valentini, Valia, Tina","Βαλεντίνη, Βάλια, Τίνα"
Varnavas,Βαρνάβας,Barnabas,
Vartholomaios,Βαρθολομαίος,Bartholomaios,
Vasios,Βάσιος,Vasis,
Veroniki,Βερονίκη,"Veronica, Vera, Vero, Niki","Βέρα, Νίκη"
Viktoras,Βίκτωρας,"Victor, Viktor",Βίκτωρ
Vissarion,Βησσαρίων,Vissarionos,Βησσαρίωνος
Voukolos,Βούκολος,Voskolos,
Xenia,Ξένια,"Xeni, Xenoula","Ξένη, Ξενούλα"
Xenofontas,Ξενοφώντας,"Xenofontos, Xenofon, Fontas","Ξενοφών, Φώντας"
Zacharias,Ζαχαρίας,Zachos,Ζάχος
Zinovios,Ζηνόβιος,Zinovis,
Zoe,Ζωή,"Zois, Zoitsa, Zozo","Ζωίτσα, Ζωζώ"
Aris,Άρης,,
Aimilianos,Αιμιλιανός,,
Melina,Μελίνα,,
Melania,Μελανία,,
Orentios,Ορέντιος,,
Simon,Σίμων,,
